Timestamp,Unit,X,Y,Z
50,0,-325,240,-489
63,1,-295,204,-460
76,2,-279,180,-447
89,3,-265,151,-430
102,4,-261,138,-430
115,5,-253,123,-418
128,6,-241,132,-412
141,7,-232,136,-409
154,8,-225,133,-406
167,9,-220,115,-400
180,10,-210,118,-411
193,11,-213,115,-403
206,12,-220,123,-408
219,13,-220,141,-406
232,14,-211,142,-409
245,15,-211,163,-408
258,16,-207,166,-409
271,17,-201,181,-412
284,18,-201,181,-420
297,19,-195,177,-409
310,20,-187,159,-414
323,21,-193,168,-414
336,22,-184,177,-411
349,23,-187,180,-409
362,24,-181,147,-414
375,25,-181,147,-415
388,26,-192,136,-418
401,27,-199,129,-414
414,28,-205,123,-421
427,29,-214,130,-414
440,30,-207,112,-418
453,31,-217,108,-421
466,32,-210,109,-415
479,33,-222,100,-418
492,34,-219,111,-418
505,35,-213,111,-417
518,36,-217,121,-423
531,37,-225,126,-426
544,38,-237,126,-423
557,39,-262,126,-438
570,40,-271,129,-445
583,41,-283,135,-445
596,42,-294,151,-445
609,43,-285,151,-439
622,44,-292,163,-450
635,45,-291,172,-450
648,46,-285,189,-444
661,47,-295,190,-438
674,48,-298,216,-445
687,49,-309,226,-444
700,50,-312,247,-441
713,51,-324,280,-430
726,52,-340,306,-432
739,53,-337,324,-420
752,54,-348,355,-415
765,55,-361,373,-406
778,56,-361,400,-376
791,57,-373,442,-373
804,58,-369,453,-357
817,59,-381,475,-325
830,60,-385,504,-315
843,61,-384,525,-306
856,62,-390,538,-273
869,63,-385,571,-250
882,64,-388,589,-238
895,65,-393,594,-211
908,66,-388,606,-186
921,67,-393,622,-165
934,68,-391,645,-106
947,69,-388,655,-94
960,70,-384,664,-85
973,71,-385,666,-67
986,72,-373,664,-52
999,73,-366,657,-33
1012,74,-351,661,-37
1025,75,-340,660,-42
1038,76,-342,664,-40
1051,77,-324,657,-60
1064,78,-330,651,-85
1077,79,-333,637,-99
1090,80,-331,631,-120
1103,81,-315,624,-133
1116,82,-309,622,-150
1129,83,-310,592,-202
1142,84,-301,562,-235
1155,85,-301,532,-276
1168,86,-307,466,-333
1181,87,-310,433,-354
1194,88,-306,396,-385
1207,89,-325,316,-405
1220,90,-327,292,-415
1233,91,-339,277,-438
1246,92,-343,234,-435
1259,93,-357,198,-445
1272,94,-370,169,-444
1285,95,-376,109,-441
1298,96,-373,81,-424
1311,97,-385,46,-427
1324,98,-379,1,-411
1337,99,-372,-30,-393
1350,100,-378,-52,-384
1363,101,-391,-78,-372
1376,102,-409,-97,-366
1389,103,-411,-102,-349
1402,104,-426,-117,-346
1415,105,-433,-114,-337
1428,106,-448,-120,-346
1441,107,-460,-109,-348
1454,108,-480,-93,-355
1467,109,-495,-90,-357
1480,110,-505,-33,-391
1493,111,-537,-6,-388
1506,112,-552,27,-399
1519,113,-561,79,-397
1532,114,-615,99,-403
1545,115,-613,108,-400
1558,116,-627,147,-397
1571,117,-660,157,-387
1584,118,-672,163,-376
1597,119,-682,195,-366
1610,120,-687,198,-355
1623,121,-706,201,-343
1636,122,-723,250,-304
1649,123,-762,273,-291
1662,124,-775,300,-276
1675,125,-780,354,-216
1688,126,-802,372,-193
1701,127,-808,402,-169
1714,128,-816,426,-108
1727,129,-819,444,-79
1740,130,-817,459,-48
1753,131,-820,483,13
1766,132,-811,501,61
1779,133,-807,514,87
1792,134,-792,505,144
1805,135,-781,514,177
1818,136,-762,505,207
1831,137,-733,505,258
1844,138,-715,502,291
1857,139,-709,492,304
1870,140,-697,492,312
1883,141,-693,496,316
1896,142,-687,489,327
1909,143,-673,495,331
1922,144,-675,495,322
1935,145,-667,504,324
1948,146,-654,522,318
1961,147,-640,528,313
1974,148,-645,531,301
