Timestamp,Unit,X,Y,Z
41,0,27.30,-17.55,124.65
55,1,28.05,-16.35,124.95
68,2,28.20,-18.60,124.05
81,3,29.10,-17.55,124.95
94,4,29.70,-17.40,124.50
107,5,29.70,-17.40,124.50
120,6,29.70,-17.40,124.50
133,7,29.70,-17.40,124.50
146,8,29.70,-17.40,124.50
159,9,29.70,-17.40,124.50
172,10,29.70,-17.40,124.50
185,11,29.70,-17.40,124.50
198,12,36.60,-14.25,125.25
211,13,36.60,-11.85,125.25
224,14,38.10,-10.95,124.80
237,15,39.60,-10.20,123.30
250,16,40.80,-10.20,121.50
263,17,41.70,-6.00,121.20
276,18,41.25,-6.30,119.55
289,19,44.10,-4.05,118.20
302,20,45.00,-0.75,114.00
315,21,46.20,-1.50,110.25
328,22,48.30,0.90,108.90
341,23,49.35,2.10,101.40
354,24,50.70,2.70,97.80
367,25,50.40,2.25,91.80
380,26,51.30,-0.45,83.70
393,27,52.05,0.90,80.40
406,28,53.10,-0.75,76.50
419,29,54.30,-2.10,72.15
432,30,51.90,-3.90,67.05
445,31,53.55,-5.70,64.20
458,32,52.65,-6.30,59.25
471,33,52.05,-9.30,56.40
484,34,51.15,-10.95,54.75
497,35,49.20,-11.40,50.55
510,36,49.20,-11.40,50.55
523,37,49.20,-11.40,50.55
536,38,49.20,-11.40,50.55
549,39,49.20,-11.40,50.55
562,40,49.20,-11.40,50.55
575,41,49.20,-11.40,50.55
588,42,37.80,-29.70,32.55
601,43,37.35,-32.40,34.05
614,44,33.60,-36.00,33.00
627,45,33.00,-37.80,33.45
640,46,29.85,-39.30,33.45
653,47,26.55,-41.70,34.65
666,48,25.95,-40.65,34.80
679,49,25.65,-41.70,33.15
692,50,23.85,-39.00,31.95
705,51,22.50,-37.50,31.80
718,52,23.25,-37.95,30.30
731,53,20.10,-38.70,31.80
744,54,20.10,-37.20,30.75
757,55,19.05,-37.20,30.30
770,56,16.80,-34.80,30.75
783,57,15.45,-36.60,31.20
796,58,13.50,-37.35,30.45
809,59,13.80,-36.90,31.95
822,60,12.15,-37.20,33.00
835,61,11.25,-37.35,31.95
848,62,8.85,-35.40,32.40
861,63,7.80,-36.15,34.65
874,64,7.20,-36.00,33.75
887,65,3.90,-36.60,34.65
900,66,3.90,-36.60,34.65
913,67,3.90,-36.60,34.65
926,68,3.90,-36.60,34.65
939,69,3.90,-36.60,34.65
952,70,3.90,-36.60,34.65
965,71,3.90,-36.60,34.65
978,72,0.00,-38.40,46.80
991,73,1.20,-39.75,46.95
1004,74,-0.15,-39.30,48.15
1017,75,-0.15,-40.95,49.95
1030,76,-0.90,-39.75,50.70
1043,77,-1.20,-39.30,51.15
1056,78,-0.75,-39.90,51.30
1069,79,-1.80,-40.35,53.25
1082,80,-1.20,-39.00,52.95
1095,81,-1.50,-40.35,55.05
1108,82,0.90,-40.20,54.90
1121,83,-0.30,-40.35,54.00
1134,84,0.15,-40.20,53.70
1147,85,0.15,-39.00,54.15
1160,86,-1.50,-39.15,53.25
1173,87,0.30,-38.70,52.80
1186,88,0.00,-39.15,53.25
1199,89,1.05,-38.70,53.25
1212,90,-0.45,-39.75,52.95
1225,91,1.20,-39.30,51.15
1238,92,0.45,-37.80,51.45
1251,93,0.30,-36.00,50.55
1264,94,1.20,-36.90,49.95
1277,95,0.90,-35.70,50.70
1290,96,0.90,-34.95,49.20
1303,97,0.90,-34.95,49.20
1316,98,0.90,-34.95,49.20
1329,99,0.90,-34.95,49.20
1342,100,0.90,-34.95,49.20
1355,101,0.90,-34.95,49.20
1368,102,0.90,-34.95,49.20
1381,103,-0.30,-27.60,50.25
1394,104,0.30,-27.60,49.50
1407,105,-1.80,-26.10,52.80
1420,106,-0.30,-24.90,54.00
1433,107,-2.55,-25.65,54.00
1446,108,-2.25,-24.90,54.00
1459,109,-2.10,-23.85,57.15
1472,110,-3.75,-23.70,58.05
1485,111,-2.40,-23.55,59.70
1498,112,-2.25,-23.25,60.30
1511,113,-1.50,-24.15,61.05
1524,114,-4.65,-21.90,64.20
1537,115,-2.85,-19.95,67.20
1550,116,-3.30,-20.10,69.00
1563,117,-3.90,-19.20,69.90
1576,118,-3.15,-20.70,73.95
1589,119,-3.60,-19.50,76.65
1602,120,-3.15,-17.55,78.15
1615,121,-2.55,-18.15,82.80
1628,122,-2.85,-16.80,81.90
1641,123,-1.05,-16.95,85.05
1654,124,0.00,-16.95,90.30
1667,125,0.30,-15.30,89.55
1680,126,0.45,-17.10,94.65
1693,127,0.45,-17.10,94.65
1706,128,0.45,-17.10,94.65
1719,129,0.45,-17.10,94.65
1732,130,0.45,-17.10,94.65
1745,131,0.45,-17.10,94.65
1758,132,0.45,-17.10,94.65
1771,133,9.30,-15.90,108.45
1784,134,10.95,-14.25,112.05
1797,135,11.70,-15.75,112.05
